entry	function	pc	op	expression
02f486	default	02f4aa	LOAD	CAST(INT_ZEXT(LEAF(00dc00:2:ushort)))
02f486	default	02f4b2	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(00dc00:2:ushort),CONST(0x1,2))))
02f486	default	02f4be	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(00dc00:2:ushort),CONST(0x2,2))))
02f486	default	02f4c8	LOAD	CAST(INT_ZEXT(LEAF(00dc02:2:ushort)))
02f486	default	02f4d0	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(00dc02:2:ushort),CONST(0x1,2))))
02f486	default	02f4dc	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(00dc02:2:ushort),CONST(0x2,2))))
02f486	default	02f4e6	LOAD	CAST(INT_ZEXT(LEAF(00dc04:2:ushort)))
02f486	default	02f4ee	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(00dc04:2:ushort),CONST(0x1,2))))
02f486	default	02f4fa	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(00dc04:2:ushort),CONST(0x2,2))))
02f486	default	02f504	LOAD	CAST(INT_ZEXT(LEAF(00dc06:2:ushort)))
02f486	default	02f50c	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(00dc06:2:ushort),CONST(0x1,2))))
02f486	default	02f518	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(00dc06:2:ushort),CONST(0x2,2))))
02f486	default	02f522	LOAD	CAST(INT_ZEXT(LEAF(00dc08:2:ushort)))
02f486	default	02f52a	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(00dc08:2:ushort),CONST(0x1,2))))
02f486	default	02f536	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(00dc08:2:ushort),CONST(0x2,2))))
02f486	default	02f540	LOAD	CAST(INT_ZEXT(LEAF(00dc0a:2:ushort)))
02f486	default	02f548	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(00dc0a:2:ushort),CONST(0x1,2))))
02f486	default	02f554	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(00dc0a:2:ushort),CONST(0x2,2))))
02f4de	FUN_02f4de	02f4e6	LOAD	CAST(INT_ZEXT(LEAF(00dc04:2:ushort)))
02f4de	FUN_02f4de	02f4ee	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(00dc04:2:ushort),CONST(0x1,2))))
02f4de	FUN_02f4de	02f4fa	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(00dc04:2:ushort),CONST(0x2,2))))
02f4de	FUN_02f4de	02f504	LOAD	CAST(INT_ZEXT(LEAF(00dc06:2:ushort)))
02f4de	FUN_02f4de	02f50c	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(00dc06:2:ushort),CONST(0x1,2))))
02f4de	FUN_02f4de	02f518	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(00dc06:2:ushort),CONST(0x2,2))))
02f4de	FUN_02f4de	02f522	LOAD	CAST(INT_ZEXT(LEAF(00dc08:2:ushort)))
02f4de	FUN_02f4de	02f52a	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(00dc08:2:ushort),CONST(0x1,2))))
02f4de	FUN_02f4de	02f536	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(00dc08:2:ushort),CONST(0x2,2))))
02f4de	FUN_02f4de	02f540	LOAD	CAST(INT_ZEXT(LEAF(00dc0a:2:ushort)))
02f4de	FUN_02f4de	02f548	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(00dc0a:2:ushort),CONST(0x1,2))))
02f4de	FUN_02f4de	02f554	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(00dc0a:2:ushort),CONST(0x2,2))))
02f50c	FUN_02f50c	02f50c	LOAD	CAST(INT_ZEXT(LEAF(register:0008:2:ushort)))
02f50c	FUN_02f50c	02f518	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(00dc06:2:short),CONST(0x2,2))))
02f50c	FUN_02f50c	02f522	LOAD	CAST(INT_ZEXT(LEAF(00dc08:2:ushort)))
02f50c	FUN_02f50c	02f52a	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(00dc08:2:ushort),CONST(0x1,2))))
02f50c	FUN_02f50c	02f536	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(00dc08:2:ushort),CONST(0x2,2))))
02f50c	FUN_02f50c	02f540	LOAD	CAST(INT_ZEXT(LEAF(00dc0a:2:ushort)))
02f50c	FUN_02f50c	02f548	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(00dc0a:2:ushort),CONST(0x1,2))))
02f50c	FUN_02f50c	02f554	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(00dc0a:2:ushort),CONST(0x2,2))))
