entry	name	size	calls_out	called_by
000000	RESET_VECTOR	12	00000c	
00000c	FUN_00000c	2		000000
0000c0	FUN_0000c0	28		02cab8
0000ec	FUN_0000ec	2		
000120	FUN_000120	18		
000134	FUN_000134	412		
0001fc	FUN_0001fc	150		
000430	FUN_000430	547	000732,000e80,001a62,001a8e	001bcc
0006ec	FUN_0006ec	14	0040ee	
00070e	flash_wait_ready	29		
000732	FUN_000732	1		000430,0051e6
00073c	FUN_00073c	20		
00078e	thunk_FUN_0040ee	4	0040ee	
00089a	FUN_00089a	16	0040ee	
0008f6	FUN_0008f6	6	0040ee	0044e6
00096c	thunk_FUN_0040ee	4		
00098a	FUN_00098a	102		
0009fa	FUN_0009fa	42		
000a24	FUN_000a24	16		0051e6
000a34	FUN_000a34	16		0051e6
000a44	FUN_000a44	40	0040ee	
000c2c	FUN_000c2c	6		
000c32	FUN_000c32	4		
000d28	FUN_000d28	8		
000db0	FUN_000db0	206		
000e80	FUN_000e80	6		000430,0051e6
000e86	FUN_000e86	46	0040ee	
001100	FUN_001100	6		
001108	FUN_001108	68		00152e
001438	FUN_001438	12		
00152e	FUN_00152e	108	001108	
0015a6	FUN_0015a6	591	00f115	
00160e	FUN_00160e	18	0059b0	
0016a2	FUN_0016a2	20	0059b0	
0016ce	FUN_0016ce	6	0059b0	
0016fa	FUN_0016fa	7	0059b0	
001718	FUN_001718	8	0059b0	
001778	FUN_001778	32	0059b0	
0017b4	FUN_0017b4	32	0059b0	
0017f0	FUN_0017f0	20	0059b0	
00184a	FUN_00184a	10	0059b0	0059b0
0018c8	FUN_0018c8	14	0059b0	0059b0
0019b0	FUN_0019b0	108		
001a1c	FUN_001a1c	68		
001a62	FUN_001a62	44		000430,0051e6
001a8e	FUN_001a8e	60		000430
001aca	FUN_001aca	20		
001ade	FUN_001ade	237		0051e6
001bcc	FUN_001bcc	1296	000430	0051e6
002104	FUN_002104	34		
002128	FUN_002128	28		
002144	FUN_002144	6		
00214c	FUN_00214c	8		
002154	FUN_002154	26		
002170	FUN_002170	34		
002194	FUN_002194	34		
0021b8	FUN_0021b8	34		
0021dc	FUN_0021dc	54		0040dc
002214	FUN_002214	34		
002238	FUN_002238	34		
00225c	FUN_00225c	34		
002280	FUN_002280	34		
0022a4	FUN_0022a4	34		
0022c8	FUN_0022c8	34		
0022ec	FUN_0022ec	34		
002a7c	FUN_002a7c	34		
0034e6	FUN_0034e6	34		
00393c	FUN_00393c	34		024dda
003c32	FUN_003c32	34		
003f3a	FUN_003f3a	34		
003f62	FUN_003f62	34		
003ff0	FUN_003ff0	16		
004000	flash_driver_src	4		02b01c,03c696,03e484
004044	thunk_FUN_002144	4		
004054	thunk_FUN_002154	4		
0040dc	thunk_FUN_0021dc	4	0021dc	
0040ee	FUN_0040ee	6		0006ec,00078e,00089a,0008f6,000a44,000e86
0044e6	FUN_0044e6	518	0008f6	
0051e6	flash_reflash_sequence	552	000732,000a24,000a34,000e80,001a62,001ade,001bcc	
0059b0	FUN_0059b0	82	00184a,0018c8	00160e,0016a2,0016ce,0016fa,001718,001778,0017b4,0017f0,00184a,0018c8
006144	thunk_FUN_03f34e	4		
006148	thunk_FUN_03f35a	4		
00614c	thunk_FUN_03f366	4		
006154	FUN_006154	4		
006184	thunk_FUN_03f334	4		
006194	FUN_006194	4		
0061a4	FUN_0061a4	4		
00b4f4	FUN_00b4f4	34		
00e320	FUN_00e320	34		
00f115	FUN_00f115	1		0015a6
011bea	FUN_011bea	34		
011ff4	FUN_011ff4	34		
014964	FUN_014964	8		
01496c	FUN_01496c	8		
014b8a	FUN_014b8a	1		
014c8e	FUN_014c8e	18		
0159d8	FUN_0159d8	1		
016c24	FUN_016c24	32		
01735e	FUN_01735e	14		
0175dc	FUN_0175dc	20		
01f5c2	FUN_01f5c2	34		
020000	FUN_020000	64	0242ce	
02004c	FUN_02004c	416	0242d0	
0201ec	FUN_0201ec	308	023e74	
0202bc	thunk_EXT_FUN_e900db	4		
0202f2	FUN_0202f2	228	023e74,023f8a,0243d6,03c540	
0203d6	FUN_0203d6	30	023f8a	
0203f4	FUN_0203f4	214	024524,025752	
02045e	FUN_02045e	40		0244ce,0245ca,0245ee,02461a,024634,02466a
020488	FUN_020488	48		
020524	FUN_020524	14		
020532	FUN_020532	322	02374c,03c540	
020674	FUN_020674	282	020784,024796,025820	
020784	FUN_020784	8		020674
020796	FUN_020796	98	02374c	
0207f8	FUN_0207f8	18		
02080a	FUN_02080a	348	02374c	
020966	block_copy_helper	48		0383b8
020996	FUN_020996	26		02c8b8
0209b0	FUN_0209b0	10		02c8b8
0209c2	FUN_0209c2	8		
0209ca	FUN_0209ca	188		
020a86	FUN_020a86	166		
020de0	FUN_020de0	106		024c4c,024cb2
020f08	FUN_020f08	82	024dda	
020f9e	FUN_020f9e	18	03c540	
02140e	FUN_02140e	88	02144e,025820	
02144e	FUN_02144e	76	025820	02140e
0214ec	FUN_0214ec	64	0272a0	
021544	FUN_021544	72	0272a0	
021630	FUN_021630	52	02558c	
022ae2	FUN_022ae2	34	025820,02586e	025752,02582a,0258b0,025bd0,025fea,0264f6,026540,026594,026694,026992
022db2	FUN_022db2	146		
022e44	FUN_022e44	78		
022e92	FUN_022e92	68	025820	
0230d4	FUN_0230d4	4		
023428	FUN_023428	36	0280b0	0271ba,0271d2,02721e,0272a0
023536	FUN_023536	22	0280b0	
02356a	FUN_02356a	4		
023570	FUN_023570	6		0272a0
0236d2	FUN_0236d2	28	035fbc,036252	0271d2
02374c	FUN_02374c	68		020532,020796,02080a
023798	FUN_023798	15		0271d2
023800	FUN_023800	168	035fbc,035fdc,036066,036252,036422	02799c,027b76
02399c	FUN_02399c	322	035fbc,035fdc,036066,036252	
023bac	FUN_023bac	66	035fbc	
023c10	FUN_023c10	214	032006	
023ce6	FUN_023ce6	422		
023e74	FUN_023e74	32		0201ec,0202f2
023eac	FUN_023eac	220		
023f8a	FUN_023f8a	42		0202f2,0203d6
0241a2	FUN_0241a2	262	035fbc,03600e,0362e8,036472,0364c6	
0242ce	FUN_0242ce	2		020000
0242d0	FUN_0242d0	34		02004c
0242f2	FUN_0242f2	50	036678,03671c	0271d2
0243d6	FUN_0243d6	20	036472,0365e0	0202f2
0243f4	FUN_0243f4	64	0361b4	
024434	FUN_024434	42		
024488	FUN_024488	71		
0244ce	FUN_0244ce	30	02045e	
0244ec	FUN_0244ec	54		
024524	FUN_024524	10		0203f4
02452e	FUN_02452e	9		
024538	FUN_024538	74		
024582	FUN_024582	72		
0245ca	FUN_0245ca	36	02045e	
0245ee	FUN_0245ee	44	02045e	
02461a	FUN_02461a	26	02045e	
024634	FUN_024634	54	02045e	
02466a	FUN_02466a	10	02045e,0272a0	
024784	FUN_024784	28	036422	
024796	FUN_024796	4		020674
0247ae	FUN_0247ae	345	035f52	
02492a	FUN_02492a	60	0272a0	
0249b0	FUN_0249b0	664		
024c48	FUN_024c48	4		02721e
024c4c	FUN_024c4c	102	020de0	
024cb2	FUN_024cb2	54	020de0	
024ce8	FUN_024ce8	49		
024d1a	FUN_024d1a	50		
024d4c	FUN_024d4c	102		
024db2	FUN_024db2	38		
024dda	FUN_024dda	172	00393c,0351ac	020f08
024e4a	FUN_024e4a	10		
024ec0	FUN_024ec0	24		
025068	FUN_025068	30		0271d2
02508e	FUN_02508e	84		
02527a	FUN_02527a	16	036422	
025330	FUN_025330	170	03632c	
0253da	FUN_0253da	52		0271d2
02549a	FUN_02549a	68		0271d2
02558c	FUN_02558c	114		021630,026a34
025600	FUN_025600	48		
02563c	FUN_02563c	8		
025678	FUN_025678	183	0280b0	
025752	FUN_025752	18	022ae2	0203f4
025820	thunk_FUN_02582a	2		020674,02140e,02144e,022ae2,022e92
02582a	FUN_02582a	32	022ae2	
02586e	FUN_02586e	35	0280b0	022ae2
0258b0	FUN_0258b0	20	022ae2	
0259c6	FUN_0259c6	26	0280b0	
025a16	FUN_025a16	32	0280b0	
025a78	FUN_025a78	26	0280b0	
025b3e	FUN_025b3e	122	025bd0,0280b0	
025bd0	FUN_025bd0	12	022ae2	025b3e
025c36	FUN_025c36	24	0280b0	
025e44	FUN_025e44	76	0280b0	
025fb4	FUN_025fb4	32	0280b0	
025fea	FUN_025fea	34	022ae2	
0260b0	FUN_0260b0	22	0280b0	02c86c
0264d0	FUN_0264d0	14	0280b0	
0264f6	FUN_0264f6	6	022ae2	
026528	FUN_026528	20	0280b0	
026540	FUN_026540	40	022ae2	038500
026594	FUN_026594	38	022ae2	
0265be	FUN_0265be	68	0280b0	
026638	FUN_026638	4		
02665e	FUN_02665e	40	0280b0	
026694	FUN_026694	20	022ae2	
02678c	FUN_02678c	12		
0267ba	FUN_0267ba	16	0280b0	
026800	FUN_026800	36	0280b0	
026970	FUN_026970	22	0280b0	
026992	FUN_026992	32	022ae2	
026a34	FUN_026a34	62	02558c,026ae2	
026a58	FUN_026a58	12	0280b0	
026aa0	FUN_026aa0	28	0280b0	
026ae2	FUN_026ae2	26		026a34
026b56	FUN_026b56	126	027eac	
026bf6	FUN_026bf6	6		
027052	FUN_027052	10	03671c	
027096	FUN_027096	22	036422	
0270b4	FUN_0270b4	32		
0270f8	FUN_0270f8	16	036768	
027108	FUN_027108	20	035fbc	0385b4,038b54
027128	FUN_027128	38		
0271ba	FUN_0271ba	8	023428	
0271d2	FUN_0271d2	162	023428,0236d2,023798,0242f2,025068,0253da,02549a	
027208	FUN_027208	22		
02721e	FUN_02721e	58	023428,024c48	
0272a0	FUN_0272a0	8	023428,023570	0214ec,021544,02466a,02492a,038020,0385b4,03878e,038b9e,03915c,03925a,039514,03f43e
0272e4	FUN_0272e4	330		
0275f4	thunk_FUN_0276a4	2		
027636	thunk_FUN_027666	2		
027666	FUN_027666	62		
0276a4	FUN_0276a4	106		
02799c	FUN_02799c	304	023800	
027acc	FUN_027acc	170		
027b76	FUN_027b76	64	023800	
027bb6	FUN_027bb6	225		
027ce6	FUN_027ce6	180		028c4a,028d12,028d6c,02b372,02fc58,0333f4,033cee,033d72,034aae,0350f2,0351ac,0357f2,03e204
027e74	FUN_027e74	90		
027eac	FUN_027eac	144		026b56,02802a,028e3a,02d17c,02d56a,02d996,02ece0,031eb8,0335d2,0344f4,0351ac,036c94,0386c0,03878e,0388a6,0389ea,038b9e,0390d8,03c696,03d96a,03d9ce,03de6a,03e57e
027f5e	FUN_027f5e	44		
027f8a	FUN_027f8a	159	035f44,03622e	
02802a	FUN_02802a	122	027eac,035fdc	
0280b0	FUN_0280b0	58		023428,023536,025678,02586e,0259c6,025a16,025a78,025b3e,025c36,025e44,025fb4,0260b0,0264d0,026528,0265be,02665e,0267ba,026800,026970,026a58,026aa0,02c5ae,0351ac,0352ba,0353a8,035466,035522,0357f2,035b24
02826c	FUN_02826c	13		02c138
028278	FUN_028278	247	02c86c,02ca28,036066,03609a,036380	02c138
0283b4	FUN_0283b4	44	038150	
02891e	FUN_02891e	20		
02896e	FUN_02896e	6		02c6d0
028988	FUN_028988	6		02c6d0,02ca28
02898e	FUN_02898e	62	03632c	
0289cc	FUN_0289cc	86	03632c,0363cc	02c6d0,0388a6,0389ea
028a22	FUN_028a22	6		0385b4,03878e,0388a6,0389ea,038b54
028a94	thunk_FUN_035fbc	4	035fbc	02c6d0,0386c0,0388a6,0389ea
028ab0	FUN_028ab0	8		
028b0c	FUN_028b0c	97	035fcc	02c6d0
028bce	FUN_028bce	4		02c8b8
028be8	FUN_028be8	18		02c6d0
028bfc	FUN_028bfc	2		02c6d0
028c2e	thunk_FUN_02cd6c	4		
028c4a	FUN_028c4a	167	027ce6,02ce18,0309ee	02c6d0
028cf4	FUN_028cf4	30	02ce18,0332ba	
028d12	FUN_028d12	61	027ce6,0332ba	02cbfe
028d6c	FUN_028d6c	177	027ce6,0309ee	
028e3a	FUN_028e3a	364	027eac,0309ee,03609a	
028fee	FUN_028fee	12	0332ba	
029068	FUN_029068	522	02d262,02d304,02d394	
029262	FUN_029262	12		
02927e	FUN_02927e	134	02ca28,036066,03609a,036380	
029304	FUN_029304	98	035fbc,035fdc	
02934a	FUN_02934a	6	029382	02d996
02936c	FUN_02936c	22		
029382	FUN_029382	18		02934a
0294c0	FUN_0294c0	12		02d996
029bde	FUN_029bde	88	036066,036422	
029cfa	FUN_029cfa	42	036472,0364c6,0365e0	
029d74	FUN_029d74	169	036066,036422	
029e10	FUN_029e10	6	0365aa	02d996
029ef4	FUN_029ef4	8	035fbc	
02a194	FUN_02a194	26	036472,0365e0	
02a1b0	thunk_FUN_0365e0	4	0365e0	
02a1ba	thunk_FUN_035fbc	4	035fbc	
02a72e	FUN_02a72e	36	035fbc,0361e8	
02a866	FUN_02a866	26		
02af74	FUN_02af74	110	035fdc	02ebce
02b01c	FUN_02b01c	40	004000	02ebce
02b118	FUN_02b118	20		0381e8
02b288	FUN_02b288	28		
