entry	function	pc	op	expression
000120	FUN_000120	000126	LOAD	CAST(INT_ZEXT(INT_ADD(LEAF(register:0004:2:short),CONST(0x2,2))))
000120	FUN_000120	000138	LOAD	SEGMENTOP(CONST(0x293760829c0,8),CONST(0x0,2),LEAF(register:0006:2:char *))
000120	FUN_000120	000146	LOAD	CAST(INT_ZEXT(INT_ADD(INT_ZEXT(LEAF(00fa80:1:byte)),CONST(0xadf0,2))))
000120	FUN_000120	00014c	LOAD	CAST(INT_ZEXT(INT_ADD(INT_ZEXT(LEAF(00fa80:1:byte)),CONST(0xadde,2))))
000120	FUN_000120	000154	LOAD	CAST(INT_ZEXT(PTRADD(LEAF(register:0006:2:char *),CONST(0x2,2),CONST(0x1,2))))
000120	FUN_000120	00022e	LOAD	SEGMENTOP(CONST(0x293760829c0,8),CONST(0x0,2),LEAF(register:0002:2:char *))
000120	FUN_000120	000306	LOAD	CAST(INT_ZEXT(INT_ADD(INT_RIGHT(LEAF(register:0008:2:ushort),CONST(0x8,2)),CONST(0xae38,2))))
000120	FUN_000120	004262	LOAD	CAST(INT_ZEXT(INT_ADD(MULTIEQUAL(INDIRECT(MULTIEQUAL(INDIRECT(INDIRECT(LEAF(00e73c:2:short),CONST(0xe44,4)),CONST(0xe60,4)),LEAF(00e73c:2:short)),CONST(0xeaf,4)),LEAF(00e73c:2:short)),INT_AND(MULTIEQUAL(INT_ZEXT(CAST(INT_ADD(SUBPIECE(LEAF(register:0008:2:ushort),CONST(0x0,2)),CONST(0x2,1)))),LEAF(register:0008:2:ushort)),CONST(0xff,2)))))
000120	FUN_000120	004274	LOAD	CAST(INT_ZEXT(INT_ADD(MULTIEQUAL(INDIRECT(MULTIEQUAL(INDIRECT(INDIRECT(LEAF(00e73c:2:short),CONST(0xe44,4)),CONST(0xe60,4)),LEAF(00e73c:2:short)),CONST(0xeaf,4)),LEAF(00e73c:2:short)),INT_ZEXT(CAST(INT_ADD(SUBPIECE(MULTIEQUAL(INT_ZEXT(CAST(INT_ADD(LEAF(register:0008:1:byte),CONST(0x2,1)))),LEAF(register:0008:2:ushort)),CONST(0x0,2)),CONST(0x1,1)))))))
000120	FUN_000120	00427e	STORE	CAST(INT_ZEXT(MULTIEQUAL(MULTIEQUAL(COPY(CONST(0x0,2)),INT_ADD(LEAF(register:0018:2:ushort),CONST(0x2,2))),LEAF(register:0018:2:ushort))))
