entry	name	size	calls_out	called_by
000000	RESET_VECTOR	4		
000004	FUN_000004	8		
0000c0	FUN_0000c0	28		
0000ec	FUN_0000ec	2		
000170	FUN_000170	290		
000430	flash_write_orchestrator	547	000732,000e80,001a62,001a8e	001bcc
0006ec	FUN_0006ec	14	0040ee	
00070e	flash_wait_ready	29		
000732	FUN_000732	1		000430,0051e6
00073c	FUN_00073c	20		
00078e	thunk_FUN_0040ee	4	0040ee	
00089a	FUN_00089a	16	0040ee	
0008f6	FUN_0008f6	6	0040ee	0044e6
00096c	thunk_FUN_0040ee	4		
00098a	FUN_00098a	102		
0009fa	FUN_0009fa	42		
000a24	FUN_000a24	16		0051e6
000a34	FUN_000a34	16		0051e6
000a44	FUN_000a44	40	0040ee	
000c2c	FUN_000c2c	6		
000c32	FUN_000c32	4		
000d28	FUN_000d28	8		
000db0	FUN_000db0	206		
000e80	flash_erase_thunk	6		000430,0051e6
000e86	FUN_000e86	46	0040ee	
001100	FUN_001100	6		
001108	FUN_001108	68		00152e
001438	FUN_001438	2		
00152e	FUN_00152e	108	001108	
0015a6	FUN_0015a6	539		
00160e	FUN_00160e	18	0059b0	
0016a2	FUN_0016a2	20	0059b0	
0016ce	FUN_0016ce	6	0059b0	
0016fa	FUN_0016fa	7	0059b0	
001718	FUN_001718	8	0059b0	
001778	FUN_001778	32	0059b0	
0017b4	FUN_0017b4	32	0059b0	
0017f0	FUN_0017f0	20	0059b0	
00184a	FUN_00184a	10	0059b0	0059b0
0018c8	FUN_0018c8	14	0059b0	0059b0
0019b0	FUN_0019b0	108		
001a1c	FUN_001a1c	68		
001a62	FUN_001a62	44		000430,0051e6
001a8e	FUN_001a8e	60		000430
001aca	FUN_001aca	20		
001ade	FUN_001ade	237		0051e6
001bcc	FUN_001bcc	1296	000430	0051e6
002128	FUN_002128	28		
002144	FUN_002144	6		
00214c	FUN_00214c	8		
002154	FUN_002154	26		
002170	FUN_002170	34		
002194	FUN_002194	34		
0021b8	FUN_0021b8	34		
0021dc	FUN_0021dc	54		0040dc
002214	FUN_002214	34		
002238	FUN_002238	34		
00225c	FUN_00225c	34		
002280	FUN_002280	34		
0022a4	FUN_0022a4	34		
0022c8	FUN_0022c8	34		
0022ec	FUN_0022ec	34		
0031e6	FUN_0031e6	34		
00384c	FUN_00384c	34		02c53c
003900	FUN_003900	34		024e30
003bf6	FUN_003bf6	34		
003efe	FUN_003efe	34		
003f26	FUN_003f26	34		
003fb4	FUN_003fb4	34		
004000	flash_driver_src	4		026da0,029e18,03c97a
004044	thunk_FUN_002144	4		
004054	thunk_FUN_002154	4		0375d6
0040dc	thunk_FUN_0021dc	4	0021dc	
0040ee	FUN_0040ee	6		0006ec,00078e,00089a,0008f6,000a44,000e86
0044e6	FUN_0044e6	518	0008f6	
0051e6	FUN_0051e6	552	000732,000a24,000a34,000e80,001a62,001ade,001bcc	
0059b0	FUN_0059b0	82	00184a,0018c8	00160e,0016a2,0016ce,0016fa,001718,001778,0017b4,0017f0,00184a,0018c8
006178	thunk_FUN_03cfb0	4		
0061a0	FUN_0061a0	4		
0061a4	FUN_0061a4	4		
00e320	FUN_00e320	34		
020000	thunk_FUN_020046	2		
020046	FUN_020046	102		
02045a	FUN_02045a	166	0240c8,03aa48	
020570	FUN_020570	140	02384e	
020606	FUN_020606	95	02384e,025896	024670
020670	FUN_020670	612	02383e,02384e,0248d4,025964,03aa48	02e05a
02072a	FUN_02072a	18		
02073c	FUN_02073c	4		
020740	FUN_020740	64	020786	
020780	thunk_FUN_020786	2		
020786	FUN_020786	24		020740
020986	FUN_020986	564	02384e,024d80	
020a26	FUN_020a26	208	024d80	
020ea0	FUN_020ea0	82		024d80
020f52	FUN_020f52	8		
020f5a	FUN_020f5a	46		
020f98	FUN_020f98	101		
02105e	FUN_02105e	58	024f18	
0213e2	FUN_0213e2	36	02383e,02bede,03480a	
02146e	FUN_02146e	6	02384e	
0214ec	FUN_0214ec	44		
021518	FUN_021518	6	02384e	
02152c	FUN_02152c	158	025896,025964	
0215ca	FUN_0215ca	20	025964	
021622	FUN_021622	104	026da0	
0216ee	FUN_0216ee	32	0256d0	
02170e	FUN_02170e	54	0256d0,0256d6	
021d5e	FUN_021d5e	280	0259b2	
021ee8	FUN_021ee8	104	0259b2,0260c8	
021f40	FUN_021f40	262		
022046	FUN_022046	16		
0220b0	FUN_0220b0	62	0259b2	
022152	FUN_022152	56	0259b2	
02218a	FUN_02218a	398	031270	
022318	FUN_022318	10	0315a8	
0225ac	FUN_0225ac	70	025964,0259b2	
02291a	FUN_02291a	126	026b0a	
022998	FUN_022998	438	025964,0259b2,031270	
022bc0	FUN_022bc0	32	0259b2	02570e,025814,025896,025928,025bc6,025bd2,025cba,025de8,025ebc,025ee8,0260c8,026152,026322,0263c0,026412,02648c,0265d2,0265da,02671a,0267c4,026a26
022e90	FUN_022e90	146	02881e	
022f22	FUN_022f22	42	027d20	
022f70	FUN_022f70	2		
0231b2	FUN_0231b2	8	0346ce	
023246	FUN_023246	1		
023614	FUN_023614	106	034484	
02383e	FUN_02383e	30		020670,0213e2
02384e	FUN_02384e	16		020570,020606,020670,020986,02146e,021518,027b1c,027c36
02385e	FUN_02385e	12		
02386a	FUN_02386a	16		0277e6,027c36
02387a	FUN_02387a	10		
02388a	FUN_02388a	14		
023898	FUN_023898	16		
0238a8	FUN_0238a8	12		
0238d2	FUN_0238d2	36		
0238f2	FUN_0238f2	56		027b1c
023a50	FUN_023a50	8		027956
023a58	FUN_023a58	54		
023a8e	FUN_023a8e	118	027710	
023fb2	FUN_023fb2	168	031270,032e9a,0348ac	
0240c8	FUN_0240c8	218		02045a
02440e	FUN_02440e	34	03463e	
024430	FUN_024430	42		
024514	FUN_024514	54		
024532	FUN_024532	62		
024670	FUN_024670	186	020606,02ec22	
0248d4	FUN_0248d4	124	026da0	020670
024d80	FUN_024d80	39	020ea0	020986,020a26
024e30	FUN_024e30	186	003900	
024f18	FUN_024f18	56	033674	02105e
025098	thunk_FUN_027956	4	027956	
0251a6	FUN_0251a6	14	02524a	
0251cc	thunk_FUN_02524a	2		
02524a	FUN_02524a	12		0251a6
025370	FUN_025370	78	0253be	
0253be	FUN_0253be	36		025370
025474	FUN_025474	70		
02551e	FUN_02551e	14		
0255de	FUN_0255de	44	027956	
0256d0	thunk_FUN_0256ea	2		0216ee,02170e
0256d6	FUN_0256d6	20		02170e
0256ea	FUN_0256ea	4		
0256ee	FUN_0256ee	32		
02570e	FUN_02570e	22	022bc0	
025724	FUN_025724	32		
025744	FUN_025744	16		
025754	FUN_025754	122	027d20	
025780	FUN_025780	24		
0257bc	FUN_0257bc	36	027d20	
025814	FUN_025814	38	022bc0	
025842	FUN_025842	58	027d20	
025896	FUN_025896	122	022bc0,027d20	020606,02152c
025928	FUN_025928	104	022bc0	
025964	FUN_025964	12	027d20	020670,02152c,0215ca,0225ac,022998
0259b2	FUN_0259b2	103	027d20	021d5e,021ee8,0220b0,022152,0225ac,022998,022bc0
0259f4	FUN_0259f4	4		02c53c
025a34	FUN_025a34	4		02c53c
025a7c	FUN_025a7c	82	027d20	
025aea	FUN_025aea	40		
025b0a	FUN_025b0a	10	027d20	02c53c
025b38	FUN_025b38	62		02c53c
025b5a	thunk_FUN_025b7c	2		02c53c
025b7c	FUN_025b7c	20	027d20	
025bbc	thunk_FUN_025bc6	2		02c53c
025bc6	FUN_025bc6	12	022bc0	
025bd2	FUN_025bd2	164	022bc0,027d20	
025c66	FUN_025c66	18	027d20	02c53c
025cba	FUN_025cba	60	022bc0	
025cf8	FUN_025cf8	52	027d20	02c53c
025d5a	FUN_025d5a	110	027d20	
025d5e	FUN_025d5e	4		02c53c
025de8	FUN_025de8	156	022bc0,027d20	
025ebc	FUN_025ebc	162	022bc0,027d20	
025ee8	FUN_025ee8	28	022bc0	02c4fe
025f96	FUN_025f96	146	0260c8,027d20	
026056	FUN_026056	67	027d20	02c53c
0260c8	FUN_0260c8	34	022bc0	021ee8,025f96
0260ea	FUN_0260ea	4		
0260ee	FUN_0260ee	78	027d20	02c53c
026152	FUN_026152	258	022bc0,027d20	02c53c
0262c0	FUN_0262c0	172	027d20	
026322	FUN_026322	20	022bc0	02c53c
026354	FUN_026354	33	027d20	02c53c
0263c0	FUN_0263c0	18	022bc0	038ace
0263e8	FUN_0263e8	12	027d20	
026412	FUN_026412	16	022bc0	
026422	FUN_026422	16		
02642c	FUN_02642c	50		
02645e	FUN_02645e	16	027d20	
02648c	FUN_02648c	16	022bc0	
02649c	FUN_02649c	22		
0264b2	FUN_0264b2	68	0265d2,027d20	
0264e8	FUN_0264e8	1		
02657e	FUN_02657e	26	0265d2	
0265ac	FUN_0265ac	16	027d20	
0265d2	FUN_0265d2	8	022bc0	0264b2,02657e
0265da	FUN_0265da	160	022bc0,027d20	
0265f2	FUN_0265f2	40	027d20	
0266b8	thunk_FUN_027d20	4	027d20	
02671a	FUN_02671a	197	022bc0,027d20	
026758	FUN_026758	12	027d20	
0267c4	FUN_0267c4	20	022bc0	
026856	FUN_026856	36		
02687a	FUN_02687a	46	027d20	
0268c4	FUN_0268c4	180	027d20	
026a26	FUN_026a26	200	022bc0,027d20	
026b0a	FUN_026b0a	20	026bc0	02291a
026b4e	FUN_026b4e	12	026bc0	
026b5a	FUN_026b5a	18		
026b6c	FUN_026b6c	28	027d20	
026bc0	FUN_026bc0	24		026b0a,026b4e
026bd8	FUN_026bd8	56		
026c20	FUN_026c20	146	027b1c	
026cba	FUN_026cba	32	027b1c	02c4fe
026d08	FUN_026d08	6		
026d1e	FUN_026d1e	40	027956	
026da0	FUN_026da0	103	004000,027956	021622,0248d4,03d8a6
0270f2	FUN_0270f2	2		
0270f4	FUN_0270f4	66	034ba6	
027136	FUN_027136	84	0348ac,034ba6	
027710	FUN_027710	216		023a8e
0277e6	FUN_0277e6	100	02386a,02c2ee,031190	02c0b4
027956	FUN_027956	8	023a50	025098,0255de,026d1e,026da0,028100,02b0cc,0315a8,032240,033496,034672,0348fc,0349f0,034a12,034a6a,034ab8,034b28,034bbe,034c0c,034c36,034d24,035028
027b1c	FUN_027b1c	186	02384e,0238f2	026c20,026cba,029bae,02b0cc,02cd98,02dc82,0317ae,03392e,0341bc,0357d2,03ca6e,03d8a6
027c36	FUN_027c36	132	02384e,02386a	02c53c,037762,037824
027d20	FUN_027d20	118		022f22,025754,0257bc,025842,025896,025964,0259b2,025a7c,025b0a,025b7c,025bd2,025c66,025cf8,025d5a,025de8,025ebc,025f96,026056,0260ee,026152,0262c0,026354,0263e8,02645e,0264b2,0265ac,0265da,0265f2,0266b8,02671a,026758,02687a,0268c4,026a26,026b6c,02c2ee
027edc	FUN_027edc	10		
027ee8	FUN_027ee8	28		02c0b4
0280ea	FUN_0280ea	22		
028100	FUN_028100	178	027956,0306e6	
0286de	FUN_0286de	26		
0286f8	FUN_0286f8	78	02c880	
028756	FUN_028756	20	02c7f0	
0287ac	FUN_0287ac	14	02bede	
0287c2	FUN_0287c2	6	02bede	
0287e8	FUN_0287e8	8		
02881e	FUN_02881e	48		022e90
028896	FUN_028896	53	02be08,02c8cc,02c968	
028958	FUN_028958	16		02c53c
