index,english_purpose
1,Cold-start pre-injection time
2,Upper engine-speed limit during starting
3,Stationary injection-start angle during starting
4,Cold-start injection time
5,Cold-start injection reduction factor
6,Repeat-start correction
7,Cold post-start injection-time correction
8,Cold post-start reduction factor
9,Warm-up injection-time correction
10,Coolant-temperature weighting for warm-up correction
11,Active duration of catalyst-heating fuel correction
12,Catalyst-heating injection-time correction
13,Base catalyst-heating fuel factor
14,Coolant-temperature weighting for catalyst-heating fuel correction
15,Coolant-temperature weighting for catalyst-heating fuel correction at idle
16,Repeat-start factor for post-start injection correction
17,Starting and post-start constants
18,Base injection time
19,VANOS-dependent injection-time deviation
20,Stationary injection-start angle
21,VANOS-dependent injection-start angle correction
22,Coolant-temperature correction for injection-start angle
23,Injector dead-time correction
24,Throttle angle used to detect full load
25,Full-load injection-time correction
26,Enleanment for the catalyst variant
27,Coolant-temperature weighting of catalyst-variant warm-up enleanment
28,Base and full-load fuel constants
29,Injection-time correction from the idle-speed controller
30,Idle fuel constants
31,Throttle-gradient detection for acceleration enrichment
32,Coolant-temperature correction of the acceleration throttle-gradient threshold
33,Throttle-tip-in injection correction
34,Load weighting for throttle-tip-in correction
35,Duration of throttle-tip-in enrichment in engine cycles
36,Acceleration injection-time correction
37,Wall-film injection correction during acceleration
38,Duration of acceleration enrichment in engine cycles
39,Decay of acceleration enrichment below the coolant-temperature split
40,Decay of acceleration enrichment above the coolant-temperature split
41,Transient injection-end angle
42,Throttle-gradient detection for deceleration enleanment
43,Coolant-temperature correction of the deceleration throttle-gradient threshold
44,Injection-time correction during deceleration
45,Wall-film injection correction during deceleration
46,Duration of deceleration enleanment in engine cycles
47,Decay of deceleration injection correction
48,Engine-speed threshold for fuel restoration
49,Engine-speed threshold for fuel restoration with air-conditioning load
50,Acceleration deceleration and fuel-restoration constants
51,Fuel-restoration injection correction at idle and overrun
52,Fuel-restoration injection correction at part load
53,Fuel-restoration injection correction after acceleration
54,Injection correction during engine-speed catch
55,Fuel-restoration constants
56,Front oxygen-sensor heater feed-forward command
57,Oxygen-sensor heater change-rate limiting
58,Post-start oxygen-sensor heater reduction duration
59,Post-start oxygen-sensor heater reduction decrement
60,Oxygen-sensor heater controller response
61,Minimum temperature for closed-loop lambda control
62,Minimum temperature for closed-loop lambda control at idle
63,Proportional and integral maps for the lambda controller
64,Factor that slows lambda control during overrun
65,Oxygen-sensor heater change-rate limiting during fuel restoration
66,Oxygen-sensor heater and lambda-controller constants
67,Weighting for multiplicative lambda adaptation
68,Weighting for additive lambda adaptation
69,Lambda-adaptation constants
70,Air-mass threshold for catalyst-protection activation
71,Catalyst-protection injection correction by engine speed and load
72,Catalyst-protection injection correction by ignition angle
73,Catalyst-protection constants
74,Ignition timing during starting
75,Coolant-temperature ignition correction during starting
76,Coil charge time for follow-up sparks
77,Ignition limit against post-start engine-speed overshoot
78,Starting and post-start ignition constants
79,Base ignition timing maps
80,VANOS ignition-timing correction
81,Coolant and intake-temperature ignition correction by engine speed and load
82,Coolant and intake-temperature weighting of ignition correction
83,Active duration of catalyst-heating ignition correction
84,Catalyst-heating ignition timing maps
85,Temperature correction for manual-transmission catalyst-heating ignition
86,Temperature correction for automatic-transmission catalyst-heating ignition
87,Ignition timing used for spark-plug cleaning
88,Normal coil charge time
89,Target ignition-current value
90,Base part-load and full-load ignition constants
91,Idle ignition timing
92,Coolant-temperature correction for idle ignition timing
93,Idle-speed-error ignition correction
94,Temperature correction for catalyst-heating ignition at idle
95,Catalyst-heating ignition timing at idle
96,Temperature weighting of idle ignition correction
97,Active duration of catalyst-heating phase 2
98,Catalyst-heating phase-2 ignition timing
99,Temperature weighting of catalyst-heating phase-2 ignition timing
100,Idle and catalyst-heating ignition constants
101,Ignition correction during overrun
102,Ignition correction during overrun fuel cut
103,Ignition correction during fuel restoration with air-conditioning load
104,Ignition change-rate limiting during overrun by engine speed and load
105,Coolant-temperature ignition change-rate limiting during overrun
106,Filtered-load threshold for rapid overrun retard
107,Maximum ignition correction during overrun fuel cut
108,Throttle-dynamic detection for transient ignition intervention
109,Transient ignition correction by engine speed and load
110,Intake-temperature weighting of transient ignition correction
111,Duration of transient ignition correction
112,Overrun fuel-cut and transient-ignition constants
113,Ignition change-rate limiting during idle-speed catch
114,Ignition correction during part-load fuel restoration
115,Ignition change-rate limiting during part-load fuel restoration
116,Advance angle used during engine-speed catch
117,Part-load fuel-restoration constants
118,Knock-signal gain
119,Target knock-noise value
120,Knock-control operating boundary
121,Knock-retard step magnitude for intensity 1
122,Knock-retard step magnitude for intensity 2
123,Stationary knock-retard recovery step
124,Knock-control failsafe ignition timing
125,Coolant-temperature weighting of knock failsafe timing
126,Engine-speed-gradient threshold for dynamic knock detection
127,Duration of dynamic knock handling
128,Knock-signal additive correction
129,Knock-signal factor for cylinder 1
130,Knock-signal factor for cylinder 2
131,Knock-signal factor for cylinder 3
132,Knock-signal factor for cylinder 4
133,Knock-signal factor for cylinder 5
134,Knock-signal factor for cylinder 6
135,Knock-window start angle for cylinder 1
136,Knock-window start angle for cylinder 2
137,Knock-window start angle for cylinder 3
138,Knock-window start angle for cylinder 4
139,Knock-window start angle for cylinder 5
140,Knock-window start angle for cylinder 6
141,Knock-window end angle for cylinder 1
142,Knock-window end angle for cylinder 2
143,Knock-window end angle for cylinder 3
144,Knock-window end angle for cylinder 4
145,Knock-window end angle for cylinder 5
146,Knock-window end angle for cylinder 6
147,Knock-adaptation range 1 for cylinder 1
148,Knock-adaptation range 1 for cylinder 2
149,Knock-adaptation range 1 for cylinder 3
150,Knock-adaptation range 1 for cylinder 4
151,Knock-adaptation range 1 for cylinder 5
152,Knock-adaptation range 1 for cylinder 6
153,Load threshold for knock-adaptation range 1
